DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Brasil
Casos Prováveis por UF de notificação
Período:2013
"UF de notificação";"Casos_Prováveis"
"11 Rondônia";8486
"12 Acre";2470
"13 Amazonas";17556
"14 Roraima";933
"15 Pará";8941
"16 Amapá";1683
"17 Tocantins";8704
"21 Maranhão";3490
"22 Piauí";5005
"23 Ceará";29975
"24 Rio Grande do Norte";16665
"25 Paraíba";13114
"26 Pernambuco";7162
"27 Alagoas";10602
"28 Sergipe";823
"29 Bahia";60392
"31 Minas Gerais";415247
"32 Espírito Santo";66483
"33 Rio de Janeiro";208519
"35 São Paulo";216406
"41 Paraná";65932
"42 Santa Catarina";305
"43 Rio Grande do Sul";448
"50 Mato Grosso do Sul";78146
"51 Mato Grosso";34943
"52 Goiás";130585
"53 Distrito Federal";19740
"Total";1432755
 Fonte: Ministério da Saúde/SVS - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
 ncluídas notificações de indivíduos residentes no Brasil, independente de sua confirmação, exceto os descartados, pois em situações de epidemia nem sempre é possível confirmar todos os casos.
 Para tabular os óbitos por dengue até 2012, deve-se considerar apenas os casos graves (DCC, FHD, SCD, DSA, DG) em que a evolução seja "óbito pelo agravo notificado" com critério de confirmação laboratorial e clínico-epidemiológico. A partir de 2013,
 Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos.
 Para cálculo da incidência utilize locais de residência.
 Dados de 2007 atualizados em 30/08/2009.
 Dados de 2008 atualizados em 17/03/2011.
 Dados de 2009 atualizados em 23/06/2011.
 Dados de 2010 atualizados em 18/06/2011.
 Dados de 2011 atualizados em 11/01/2012.
 Dados de 2012 atualizados em 25/07/2013.
 Dados de 2013 atualizados em 10/07/2014.
 Data da publicação dos dados 04/02/2019.
 
